fecha_divulgada,nombre_proyecto,tipo_documento,numero_proyecto,url_proyecto,linea_producto,nombre_empresa,pais,codigo_pais_ifc,industria,categoria_ambiental,departamento,estado,inversion_ifc_gestion_riesgo_millones_usd,inversion_ifc_garantia_millones_usd,inversion_ifc_prestamo_millones_usd,inversion_ifc_capital_millones_usd,total_inversion_ifc_aprobada_junta_millones_usd,codigo_pais_bm
2009-06-08,Global Export Finance Limited,Summary of Proposed Investment (Disclosure Policy 2006),28154,https://disclosures.ifc.org/project-detail/SPI/28154/global-export-finance-limited,Equity,Global Export Finance Advisory GmbH,World Region,WLD,Financial Institutions,C,Banking and Capital Markets,Pending Signing,0.0,0.0,0.0,0.21,0.21,99
2009-06-01,Commerzbank GTLP,Summary of Proposed Investment (Disclosure Policy 2006),28320,https://disclosures.ifc.org/project-detail/SPI/28320/commerzbank-gtlp,Loan,COMMERZBANK AG,World Region,WLD,Financial Institutions,C,"Global Industry, Financial Markets",Completed,0.0,0.0,150.0,0.0,150.0,99
2009-04-20,GEF Philippines Sustainable Energy Financing Program,Summary of Proposed Investment (Disclosure Policy 2006),507694,https://disclosures.ifc.org/project-detail/SPI/507694/gef-philippines-sustainable-energy-financing-program,,INTERNATIONAL FINANCE CORPORATION,Philippines,PHL,Financial Institutions,FI,"Global Industry, Financial Markets",Completed,0.0,0.0,0.0,0.0,0.0,PH
2009-04-14,Citibank GTLP,Summary of Proposed Investment (Disclosure Policy 2006),28171,https://disclosures.ifc.org/project-detail/SPI/28171/citibank-gtlp,Loan,CITIBANK N A,World Region,WLD,Financial Institutions,C,"Global Industry, Financial Markets",Completed,0.0,0.0,100.0,0.0,100.0,99
2009-03-13,SunPower,Summary of Proposed Investment (Disclosure Policy 2006),27807,https://disclosures.ifc.org/project-detail/SPI/27807/sunpower,Loan,SunPower Philippines Manufacturing Ltd,Philippines,PHL,Manufacturing,B,Regional Industry - MAS Asia & Pac,Completed,0.0,0.0,75.0,0.0,75.0,PH
2009-03-06,GTLP Rabo,Summary of Proposed Investment (Disclosure Policy 2006),27982,https://disclosures.ifc.org/project-detail/SPI/27982/gtlp-rabo,Loan,Rabobank Nederland,World Region,WLD,Financial Institutions,C,"Global Industry, Financial Markets",Completed,0.0,0.0,150.0,0.0,150.0,99
2009-02-12,Global Trade Liquidity Program,Summary of Proposed Investment (Disclosure Policy 2006),28088,https://disclosures.ifc.org/project-detail/SPI/28088/global-trade-liquidity-program,Loan,INTERNATIONAL FINANCE CORPORATION,World Region,WLD,Financial Institutions,C,Banking and Capital Markets,Pending Disbursement,0.0,0.0,1000.0,0.0,1000.0,99
2009-02-27,GTLP SCB,Summary of Proposed Investment (Disclosure Policy 2006),28145,https://disclosures.ifc.org/project-detail/SPI/28145/gtlp-scb,Loan,STANDARD CHARTERED BANK,World Region,WLD,Financial Institutions,C,"Global Industry, Financial Markets",Completed,0.0,0.0,150.0,0.0,150.0,99
2008-12-29,IFC MLF,Summary of Proposed Investment (Disclosure Policy 2006),27827,https://disclosures.ifc.org/project-detail/SPI/27827/ifc-mlf,Loan,"Global Gender-Smart Fund S.A., SICAV-SIF",World Region,WLD,Funds,FI,"Global Industry, Financial Markets",Active,0.0,0.0,150.0,0.0,150.0,99
2008-11-11,Bank Recap Fund,Summary of Proposed Investment (Disclosure Policy 2006),27832,https://disclosures.ifc.org/project-detail/SPI/27832/bank-recap-fund,Equity,"IFC CAPITALIZATION (EQUITY) FUND, LP",World Region,WLD,Financial Institutions,FI,"TMT, Venture Capital &amp; Funds",Completed,0.0,0.0,0.0,1003.0,1003.0,99
2008-11-14,GTFP IV,Summary of Proposed Investment (Disclosure Policy 2006),27839,https://disclosures.ifc.org/project-detail/SPI/27839/gtfp-iv,Guarantee,Global Trade Finance Program,World Region,WLD,Financial Institutions,C,"Global Industry, Financial Markets",Pending Signing,0.0,1500.0,0.0,0.0,1500.0,99
2008-09-09,"MicrVest II, LP",Summary of Proposed Investment (Disclosure Policy 2006),27256,https://disclosures.ifc.org/project-detail/SPI/27256/micrvest-ii-lp,Equity,"MICROVEST II-A, LP",World Region,WLD,Funds,FI,NonBanking & Alternative Finance,Active,0.0,0.0,0.0,10.0,10.0,99
2008-08-29,GTFP III,Summary of Proposed Investment (Disclosure Policy 2006),27372,https://disclosures.ifc.org/project-detail/SPI/27372/gtfp-iii,Guarantee,Global Trade Finance Program,World Region,WLD,Financial Institutions,C,"Global Industry, Financial Markets",Pending Signing,0.0,500.0,0.0,0.0,500.0,99
2008-08-04,Altima Agro,Summary of Proposed Investment (Disclosure Policy 2006),27222,https://disclosures.ifc.org/project-detail/SPI/27222/altima-agro,Equity,Altima One World Agriculture Development Fund Limited,World Region,WLD,Financial Institutions,FI,"Disruptive Tech, Service & Funds",Completed,0.0,0.0,0.0,75.0,75.0,99
2008-05-22,ECOM Agroindustrial Corp. Ltd.,Summary of Proposed Investment (Disclosure Policy 2006),26705,https://disclosures.ifc.org/project-detail/SPI/26705/ecom-agroindustrial-corp.-ltd.,Loan,ECOM Agroindustrial Corp. Limited,World Region,WLD,Agribusiness and Forestry,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,0.0,0.0,55.0,0.0,55.0,99
